rank,id,player,team,pos,gp,redzone_pass_yds,redzone_pass_td,redzone_pass_int,redzone_rush_yds,redzone_rush_td,redzone_rec,redzone_rec_yds,redzone_rec_td,redzone_fum_lost,redzone_fpts_ppr_per_gp,redzone_fpts_ppr
1,19781,Lamar Jackson,BAL,QB,17,419,33,2,72,3,0,0,0,0,10.1,172.0
2,19801,Josh Allen,BUF,QB,17,281,19,1,101,11,0,7,1,1,9.9,168.0
3,19790,Baker Mayfield,TB,QB,17,421,29,2,37,3,0,0,0,0,9.0,152.5
4,21831,Jalen Hurts,PHI,QB,15,228,12,3,126,14,0,0,0,1,9.7,145.7
5,21693,Joe Burrow,CIN,QB,17,478,30,0,14,1,0,0,0,2,8.4,142.5
6,25069,Bo Nix,DEN,QB,17,374,23,1,41,4,1,2,1,0,8.3,140.3
7,23235,Jayden Daniels,WAS,QB,17,292,19,1,105,6,0,0,0,0,8.1,138.2
8,23212,Kyren Williams,LAR,RB,16,0,0,0,199,14,7,38,2,1,7.8,124.7
9,23200,Jahmyr Gibbs,DET,RB,17,0,0,0,168,12,10,52,3,1,7.1,120.0
10,19812,Sam Darnold,MIN,QB,17,402,26,4,3,1,0,0,0,0,7.0,118.4
11,17922,Jared Goff,DET,QB,17,424,23,1,10,0,1,7,1,0,6.9,117.7
12,23241,Brock Purdy,SF,QB,15,337,17,1,51,5,0,0,0,0,7.6,114.6
13,18890,Patrick Mahomes,KC,QB,16,395,22,2,22,2,0,0,0,0,7.1,114.0
14,23189,Bijan Robinson,ATL,RB,17,0,0,0,151,13,7,46,1,0,6.6,112.7
15,17959,Derrick Henry,BAL,RB,17,0,0,0,158,13,4,25,2,0,6.6,112.3
16,20824,Josh Jacobs,GB,RB,17,0,0,0,153,14,3,14,1,1,6.3,107.7
17,21841,Jordan Love,GB,QB,15,362,20,2,28,1,0,0,0,0,7.0,105.3
18,23247,James Cook,BUF,RB,16,0,0,0,142,12,4,28,2,0,6.6,105.0
19,20889,Kyler Murray,ARI,QB,17,308,16,1,76,3,0,0,0,1,5.9,99.9
20,22587,Amon-Ra St. Brown,DET,WR,17,7,1,0,10,0,24,165,9,0,5.9,99.8
21,20882,David Montgomery,DET,RB,14,3,1,0,168,12,3,12,0,0,6.9,97.1
22,24179,De'Von Achane,MIA,RB,17,0,0,0,60,5,12,91,6,0,5.5,93.1
23,19803,Mark Andrews,BAL,TE,17,0,0,0,0,0,13,121,11,0,5.4,91.1
24,19766,Saquon Barkley,PHI,RB,16,0,0,0,212,6,8,70,2,0,5.6,90.2
25,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,22,181,8,0,5.2,88.1
26,24374,Chase Brown,CIN,RB,16,0,0,0,101,6,9,51,4,0,5.4,86.2
27,18858,Joe Mixon,HOU,RB,14,0,0,0,145,10,3,20,1,0,6.1,85.5
28,2593,Aaron Rodgers,NYJ,QB,17,277,19,2,3,0,0,0,0,1,5.0,85.4
29,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,13,112,10,0,5.0,84.2
30,23132,Bryce Young,CAR,QB,14,212,11,1,57,5,0,0,0,1,6.0,84.2
31,18983,James Conner,ARI,RB,16,0,0,0,162,8,5,23,1,0,5.1,81.5
32,19063,George Kittle,SF,TE,15,0,0,0,0,0,18,135,8,0,5.3,79.5
33,21691,Chuba Hubbard,CAR,RB,15,0,0,0,113,8,8,34,1,0,5.2,78.7
34,21677,Tua Tagovailoa,MIA,QB,11,268,16,1,9,0,0,0,0,0,7.1,77.6
35,21681,Justin Herbert,LAC,QB,17,191,12,0,37,2,0,0,0,1,4.4,75.3
36,24933,Brian Thomas Jr.,JAX,WR,17,0,0,0,0,0,11,104,8,0,4.3,73.4
37,24967,Bucky Irving,TB,RB,17,0,0,0,153,8,7,30,0,0,4.3,73.3
38,9038,Matthew Stafford,LAR,QB,16,250,16,1,10,0,0,0,0,0,4.6,73.0
39,23217,Rachaad White,TB,RB,16,0,0,0,48,3,11,78,5,0,4.5,71.6
40,23151,Drake London,ATL,WR,17,0,0,0,0,0,15,134,7,0,4.1,70.4
41,23239,C.J. Stroud,HOU,QB,17,224,16,0,13,0,0,0,0,2,4.1,70.3
42,24927,Caleb Williams,CHI,QB,17,249,13,0,43,0,0,0,0,1,4.1,70.3
43,19800,Courtland Sutton,DEN,WR,17,2,1,0,0,0,13,125,7,1,4.1,69.6
44,23162,Jordan Addison,MIN,WR,15,0,0,0,7,1,16,96,6,0,4.6,68.3
45,14856,Zach Ertz,WAS,TE,17,0,0,0,0,0,13,92,7,0,4.0,68.2
46,22546,Rhamondre Stevenson,NE,RB,15,0,0,0,97,6,9,33,1,0,4.5,68.0
47,18990,Jonnu Smith,MIA,TE,17,0,0,0,0,0,15,90,7,0,3.9,66.0
48,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,14,95,7,0,5.5,65.5
49,14895,Geno Smith,SEA,QB,17,265,14,5,26,1,0,0,0,0,3.8,65.2
50,22490,Trevor Lawrence,JAX,QB,10,132,9,1,11,3,0,0,0,0,6.4,64.4
51,21682,Jonathan Taylor,IND,RB,14,0,0,0,122,7,2,11,1,0,4.5,63.3
52,21685,Justin Jefferson,MIN,WR,17,0,0,0,0,0,15,118,6,0,3.7,62.8
53,14536,Russell Wilson,PIT,QB,11,209,11,2,16,2,0,0,0,0,5.6,62.0
54,19045,Aaron Jones,MIN,RB,17,0,0,0,87,4,14,71,2,2,3.6,61.8
55,22507,Pat Freiermuth,PIT,TE,17,0,0,0,0,0,13,127,6,0,3.6,61.7
56,18944,Kareem Hunt,KC,RB,13,0,0,0,99,7,7,22,0,0,4.7,61.1
57,24118,Tucker Kraft,GB,TE,17,0,0,0,0,0,11,103,6,0,3.5,59.3
58,22526,Breece Hall,NYJ,RB,16,0,0,0,66,5,7,40,1,0,3.6,57.6
59,21674,J.K. Dobbins,LAC,RB,13,0,0,0,82,7,5,18,0,0,4.4,57.0
60,24958,Drake Maye,NE,QB,13,139,9,2,34,2,0,0,0,0,4.4,57.0
61,16470,Davante Adams,NYJ,WR,14,0,0,0,0,0,12,64,6,0,4.0,56.4
62,22597,Jalen Tolbert,DAL,WR,17,0,0,0,0,0,8,58,7,0,3.3,55.8
63,22492,Justin Fields,PIT,QB,10,116,4,0,50,5,0,0,0,0,5.6,55.6
64,23190,Brian Robinson Jr.,WAS,RB,14,0,0,0,120,7,2,7,0,1,3.9,54.7
65,16597,Mike Evans,TB,WR,14,0,0,0,0,0,8,32,7,0,3.8,53.2
66,24117,Anthony Richardson Sr.,IND,QB,11,49,4,2,90,5,0,0,0,1,4.8,53.0
67,23214,Kenneth Walker III,SEA,RB,11,0,0,0,41,5,8,43,1,0,4.8,52.4
68,18878,Alvin Kamara,NO,RB,14,0,0,0,109,6,3,14,0,0,3.7,51.3
69,21768,Najee Harris,PIT,RB,17,0,0,0,137,5,4,33,0,0,3.0,51.0
70,22623,Rashod Bateman,BAL,WR,17,0,0,0,0,0,7,78,6,0,3.0,50.8
71,23141,Sam LaPorta,DET,TE,16,0,0,0,0,0,12,87,5,0,3.2,50.7
72,24924,Xavier Worthy,KC,WR,17,0,0,0,19,1,11,77,4,0,3.0,50.6
73,23193,Tank Bigsby,JAX,RB,16,0,0,0,132,6,0,0,0,0,3.1,49.2
74,21734,Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,7,51,6,0,2.8,48.1
75,15048,Travis Kelce,KC,TE,16,0,0,0,1,0,19,106,3,0,3.0,47.7
76,24119,Andrei Iosivas,CIN,WR,17,0,0,0,0,0,7,31,6,0,2.7,46.1
77,23233,Jayden Reed,GB,WR,17,0,0,0,1,0,9,68,5,0,2.7,45.9
78,16311,Derek Carr,NO,QB,10,144,8,0,1,1,0,0,0,0,4.6,45.9
79,23157,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,8,78,5,0,2.7,45.8
80,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,12,73,4,0,2.7,45.3
81,24172,Puka Nacua,LAR,WR,11,0,0,0,25,1,10,85,3,0,4.1,45.0
82,14252,Kirk Cousins,ATL,QB,14,181,10,1,-4,0,0,0,0,0,3.2,44.8
83,18082,Tyreek Hill,MIA,WR,17,0,0,0,0,0,9,57,5,0,2.6,44.7
84,21679,CeeDee Lamb,DAL,WR,15,0,0,0,3,0,11,92,4,1,3.0,44.5
85,25097,Ladd McConkey,LAC,WR,16,0,0,0,0,0,7,54,5,0,2.8,44.4
86,21717,Jauan Jennings,SF,WR,15,0,0,0,0,0,8,63,5,0,3.0,44.3
87,23253,Dontayvion Wicks,GB,WR,17,0,0,0,0,0,11,89,4,0,2.6,43.9
88,23173,Zach Charbonnet,SEA,RB,17,0,0,0,55,6,1,12,0,0,2.6,43.7
89,23256,Isaiah Likely,BAL,TE,16,0,0,0,0,0,8,56,5,0,2.7,43.6
90,19850,Mason Rudolph,TEN,QB,8,113,8,2,19,1,0,0,0,0,5.3,42.4
91,611,Joe Flacco,IND,QB,8,148,9,0,3,0,0,0,0,0,5.3,42.2
92,24980,Ray Davis,BUF,RB,17,0,0,0,95,3,2,7,2,0,2.5,42.2
93,16815,Ameer Abdullah,LV,RB,16,0,0,0,51,2,6,30,3,1,2.6,42.1
94,24974,Marvin Harrison Jr.,ARI,WR,17,0,0,0,0,0,6,56,5,0,2.4,41.6
95,24372,Roschon Johnson,CHI,RB,14,0,0,0,27,6,1,10,0,0,2.9,40.7
96,19461,Cooper Rush,DAL,QB,12,110,10,2,3,0,0,0,0,1,3.4,40.7
97,15076,Keenan Allen,CHI,WR,15,0,0,0,0,0,6,44,5,0,2.7,40.4
98,24123,Tyjae Spears,TEN,RB,12,0,0,0,34,4,3,37,1,0,3.3,40.1
99,21785,Noah Gray,KC,TE,17,0,0,0,0,0,9,63,4,0,2.3,39.3
100,21756,Nico Collins,HOU,WR,12,0,0,0,0,0,7,21,5,0,3.3,39.1
101,16762,Jameis Winston,CLE,QB,12,98,6,2,8,1,0,0,0,0,3.2,38.7
102,25098,Jalen McMillan,TB,WR,13,0,0,0,6,0,7,65,4,0,2.9,38.1
103,14986,DeAndre Hopkins,KC,WR,16,0,0,0,0,0,5,29,5,0,2.4,37.9
104,23134,Cade Otton,TB,TE,14,0,0,0,0,0,10,58,4,1,2.7,37.8
105,18876,David Njoku,CLE,TE,11,0,0,0,0,0,5,44,4,0,3.4,37.4
106,23251,Trey McBride,ARI,TE,16,0,0,0,2,1,11,79,2,0,2.3,37.1
107,24226,Quentin Johnston,LAC,WR,15,0,0,0,0,0,7,61,4,0,2.5,37.1
108,18047,Demarcus Robinson,LAR,WR,17,0,0,0,0,0,5,17,5,0,2.2,36.7
109,19844,DJ Moore,CHI,WR,17,0,0,0,0,0,13,95,2,0,2.1,36.5
110,20912,Tony Pollard,TEN,RB,16,0,0,0,107,3,3,28,0,0,2.3,36.5
111,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,8,82,3,0,2.8,36.2
112,21042,A.J. Brown,PHI,WR,13,0,0,0,0,0,7,51,4,0,2.8,36.1
113,21688,Cam Akers,MIN,RB,17,0,0,0,25,2,3,20,3,1,2.1,35.5
114,21952,Rico Dowdle,DAL,RB,16,0,0,0,69,2,5,15,2,1,2.2,35.4
115,20145,Allen Lazard,NYJ,WR,12,0,0,0,0,0,6,51,4,0,2.9,35.1
116,16906,Stefon Diggs,HOU,WR,8,0,0,0,6,1,6,45,3,0,4.4,35.1
117,20876,Jakobi Meyers,LV,WR,15,0,0,0,0,0,8,71,3,0,2.3,35.1
118,23170,Wan'Dale Robinson,NYG,WR,17,0,0,0,0,0,11,61,3,0,2.1,35.1
119,25106,AJ Barner,SEA,TE,17,0,0,0,0,0,6,49,4,0,2.1,34.9
120,20932,Deebo Samuel Sr.,SF,WR,15,0,0,0,18,1,10,50,2,0,2.3,34.8
121,19988,Tyler Conklin,NYJ,TE,16,0,0,0,0,0,6,27,4,0,2.2,34.7
122,20884,Foster Moreau,NO,TE,17,0,0,0,0,0,6,43,4,0,2.0,34.3
123,18882,Cooper Kupp,LAR,WR,12,0,0,0,1,0,6,41,4,0,2.9,34.2
124,20841,Daniel Jones,NYG,QB,10,84,6,4,48,2,0,0,0,1,3.4,34.2
125,18055,Dak Prescott,DAL,QB,8,133,7,2,4,1,0,0,0,1,4.2,33.7
126,25003,Xavier Legette,CAR,WR,16,0,0,0,0,0,6,36,4,0,2.1,33.6
127,22496,Mac Jones,JAX,QB,10,131,5,0,1,1,0,0,0,0,3.3,33.3
128,22558,Javonte Williams,DEN,RB,17,0,0,0,70,4,1,11,0,0,1.9,33.1
129,25092,Tyrone Tracy Jr.,NYG,RB,17,0,0,0,52,3,4,15,1,1,1.9,32.7
130,20868,Alexander Mattison,LV,RB,14,0,0,0,40,4,2,3,0,0,2.3,32.3
131,19023,Mack Hollins,BUF,WR,17,0,0,0,0,0,5,28,4,0,1.9,31.8
132,21772,Cole Kmet,CHI,TE,17,0,0,0,0,0,8,31,3,0,1.8,31.1
133,23232,Alec Pierce,IND,WR,16,0,0,0,0,0,4,30,4,0,1.9,31.0
134,23364,Jordan Mason,SF,RB,12,0,0,0,107,3,2,20,0,1,2.6,30.7
135,24177,Tre Tucker,LV,WR,17,0,0,0,21,1,5,54,2,0,1.8,30.5
136,20837,Ty Johnson,BUF,RB,17,0,0,0,30,1,5,45,2,0,1.8,30.5
137,24977,Rome Odunze,CHI,WR,17,0,0,0,0,0,7,53,3,0,1.8,30.3
138,23153,George Pickens,PIT,WR,14,0,0,0,0,0,7,72,3,1,2.2,30.2
139,20880,Gardner Minshew,LV,QB,10,123,6,1,10,0,0,0,0,0,3.0,29.9
140,20239,Gus Edwards,LAC,RB,11,0,0,0,59,4,0,0,0,0,2.7,29.9
141,23368,Jalen Nailor,MIN,WR,17,0,0,0,-7,0,4,26,4,0,1.8,29.9
142,21687,DeVonta Smith,PHI,WR,13,0,0,0,1,0,8,38,3,0,2.3,29.9
143,19207,Tim Patrick,DET,WR,16,0,0,0,0,0,6,37,3,0,1.9,29.7
144,18880,Chris Godwin,TB,WR,7,0,0,0,0,0,7,47,3,0,4.2,29.7
145,19120,David Moore,CAR,WR,17,0,0,0,0,0,6,56,3,0,1.7,29.6
146,23270,Will Levis,TEN,QB,12,107,6,0,13,0,0,0,0,1,2.5,29.6
147,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,7,43,3,0,1.8,29.3
148,24350,Aidan O'Connell,LV,QB,9,123,5,1,2,1,0,0,0,0,3.2,29.1
149,24953,Malik Nabers,NYG,WR,15,0,0,0,-2,0,6,33,3,0,1.9,29.1
150,25063,Isaac Guerendo,SF,RB,16,0,0,0,49,4,0,0,0,0,1.8,28.9
151,19798,Nick Chubb,CLE,RB,8,0,0,0,34,3,1,5,1,0,3.6,28.9
152,19562,Austin Ekeler,WAS,RB,12,0,0,0,80,3,2,7,0,0,2.4,28.7
153,25198,Devaughn Vele,DEN,WR,13,0,0,0,0,0,6,45,3,0,2.2,28.5
154,24173,Michael Wilson,ARI,WR,16,0,0,0,0,0,6,45,3,0,1.8,28.5
155,19238,Taysom Hill,NO,QB,8,0,0,0,38,4,2,7,0,1,3.6,28.5
156,18857,Deshaun Watson,CLE,QB,7,74,4,0,15,1,0,0,0,0,4.1,28.5
157,17975,Hunter Henry,NE,TE,16,0,0,0,0,0,10,62,2,0,1.8,28.2
158,21738,Juwan Johnson,NO,TE,17,0,0,0,0,0,5,42,3,0,1.6,27.2
159,20941,Devin Singletary,NYG,RB,15,0,0,0,31,4,0,0,0,0,1.8,27.1
160,19065,Jeremy McNichols,WAS,RB,17,0,0,0,39,3,2,11,0,0,1.6,27.0
161,21684,D'Andre Swift,CHI,RB,17,0,0,0,63,3,0,0,0,0,1.5,26.3
162,23227,Khalil Shakir,BUF,WR,15,0,0,0,0,0,9,53,2,0,1.8,26.3
163,21071,Greg Dortch,ARI,WR,17,0,0,0,10,0,8,52,2,0,1.5,26.2
164,23250,Tyler Allgeier,ATL,RB,17,0,0,0,49,3,1,3,0,0,1.5,26.2
165,24311,Jaleel McLaughlin,DEN,RB,16,0,0,0,40,1,3,11,2,0,1.6,26.1
166,23120,Zay Flowers,BAL,WR,17,0,0,0,-1,0,4,39,3,0,1.5,25.8
167,21810,Tyler Huntley,MIA,QB,5,45,3,1,19,2,0,0,0,0,5.1,25.7
168,24686,Nate Adkins,DEN,TE,17,0,0,0,0,0,4,35,3,0,1.5,25.5
169,20802,Justice Hill,BAL,RB,15,0,0,0,9,0,6,62,2,0,1.7,25.1
170,20859,Drew Lock,NYG,QB,8,43,2,0,13,2,0,0,0,0,3.1,25.0
171,21784,Zack Moss,CIN,RB,8,0,0,0,43,2,2,5,1,0,3.1,24.8
172,24934,Braelon Allen,NYJ,RB,17,0,0,0,45,2,1,12,1,0,1.5,24.7
173,16763,Marcus Mariota,WAS,QB,3,60,4,0,1,1,0,0,0,0,8.2,24.5
174,18019,Nick Vannett,TEN,TE,17,0,0,0,0,0,4,17,3,0,1.4,23.7
175,24309,Emanuel Wilson,GB,RB,17,0,0,0,32,3,2,3,0,0,1.4,23.5
176,24145,Josh Downs,IND,WR,14,0,0,0,0,0,7,44,2,0,1.7,23.4
177,21142,Olamide Zaccheaus,WAS,WR,17,0,0,0,0,0,7,43,2,0,1.4,23.3
178,20899,Josh Oliver,MIN,TE,15,0,0,0,0,0,3,21,3,0,1.5,23.1
179,12841,Andy Dalton,CAR,QB,6,73,5,0,0,0,0,0,0,0,3.8,22.9
180,15534,Adam Thielen,CAR,WR,10,0,0,0,0,0,6,49,2,0,2.3,22.9
181,23234,Jameson Williams,DET,WR,15,0,0,0,3,1,6,39,1,0,1.5,22.2
182,24176,Tank Dell,HOU,WR,14,0,0,0,4,0,5,45,2,0,1.6,21.9
183,22562,Kenneth Gainwell,PHI,RB,17,0,0,0,93,1,3,35,0,0,1.3,21.8
184,24982,Ricky Pearsall,SF,WR,11,0,0,0,4,0,6,31,2,0,2.0,21.5
185,19863,Dallas Goedert,PHI,TE,10,0,0,0,0,0,5,43,2,0,2.1,21.3
186,22598,Jaylen Waddle,MIA,WR,15,0,0,0,2,0,6,50,1,0,1.4,21.2
187,24102,Dalton Kincaid,BUF,TE,13,0,0,0,0,0,5,40,2,0,1.6,21.0
188,24964,Keon Coleman,BUF,WR,13,0,0,0,0,0,4,29,2,0,1.6,20.9
189,21786,Adam Trautman,DEN,TE,17,0,0,0,0,0,4,47,2,0,1.2,20.7
190,19802,Calvin Ridley,TEN,WR,17,0,0,0,20,1,4,23,1,0,1.2,20.3
191,23165,Marvin Mims Jr.,DEN,WR,17,0,0,0,0,0,5,29,2,0,1.2,19.9
192,24973,Troy Franklin,DEN,WR,16,0,0,0,0,0,5,28,2,0,1.2,19.8
193,22508,Kyle Pitts Sr.,ATL,TE,17,0,0,0,0,0,4,38,2,0,1.2,19.8
194,21739,Van Jefferson,PIT,WR,17,0,0,0,0,0,5,27,2,0,1.2,19.7
195,17923,Ezekiel Elliott,DAL,RB,15,0,0,0,18,3,1,9,0,1,1.3,19.7
196,18883,JuJu Smith-Schuster,KC,WR,14,0,0,0,0,0,4,34,2,0,1.4,19.4
197,17963,Austin Hooper,NE,TE,17,0,0,0,0,0,4,32,2,0,1.1,19.2
198,19922,Justin Watson,KC,WR,17,0,0,0,0,0,4,29,2,0,1.1,18.9
199,16765,Amari Cooper,BUF,WR,14,0,0,0,0,0,4,28,2,0,1.3,18.8
200,20933,Miles Sanders,CAR,RB,11,0,0,0,20,2,3,17,0,0,1.7,18.7
201,21696,Travis Etienne Jr.,JAX,RB,15,0,0,0,47,2,3,10,0,1,1.2,18.7
202,24143,Parker Washington,JAX,WR,17,0,0,0,0,1,3,16,1,0,1.1,18.6
203,19025,Joshua Dobbs,SF,QB,2,28,1,0,14,2,0,0,0,0,9.3,18.5
