rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
1,22564,Ja'Marr Chase,WR,CIN,6,5,7,6,12,6,6,11,11,17,13,,9,18,11,8,15,14,29.6,12.3,25,37,26.8,10.3,127,175
2,24953,Malik Nabers,WR,NYG,7,18,12,15,,,8,13,11,10,,9,13,10,14,14,8,8,33.0,10.0,19,30,32.9,11.3,109,170
3,23151,Drake London,WR,ATL,3,7,9,12,13,10,8,6,2,13,7,,16,10,3,8,13,18,39.0,13.0,22,39,28.3,9.3,100,158
4,21685,Justin Jefferson,WR,MIN,6,7,8,8,14,,8,9,9,9,8,5,9,7,14,13,11,9,27.7,11.0,21,33,28.1,9.1,103,154
5,23122,Garrett Wilson,WR,NYJ,11,6,9,8,23,10,9,8,10,6,8,,10,10,6,7,8,5,18.0,6.7,17,20,25.4,9.1,101,154
6,24943,Brock Bowers,TE,LV,8,9,4,3,12,10,14,5,8,,16,10,14,5,6,13,7,9,26.6,9.7,22,29,24.1,9.0,112,153
7,21679,CeeDee Lamb,WR,DAL,10,7,7,8,9,14,,17,12,10,12,12,6,7,13,8,,,22.9,8.0,7,8,26.5,10.1,101,152
8,23251,Trey McBride,TE,ARI,9,6,6,,9,8,7,11,4,5,,15,12,14,10,4,16,11,27.0,10.3,22,31,28.2,9.2,111,147
9,21692,Jerry Jeudy,WR,CLE,8,6,7,9,3,3,6,8,11,,11,6,13,6,14,3,18,13,29.6,11.3,20,34,21.9,8.5,90,145
10,16470,Davante Adams,WR,NYJ,6,12,9,,,,9,6,11,13,7,,12,11,12,13,8,12,29.7,11.0,18,33,28.6,10.1,85,141
11,22587,Amon-Ra St. Brown,WR,DET,6,18,8,6,,4,8,2,7,8,11,7,7,6,18,8,10,7,25.3,8.3,20,25,25.6,8.3,115,141
12,19844,DJ Moore,WR,CHI,8,10,10,6,8,5,,4,9,6,7,7,16,8,8,10,8,10,28.6,9.3,22,28,24.7,8.2,98,140
13,23170,Wan'Dale Robinson,WR,NYG,12,4,8,14,9,11,9,5,4,8,,5,2,11,9,12,6,11,31.9,9.7,22,29,23.7,8.2,93,140
14,23157,Jaxon Smith-Njigba,WR,SEA,2,16,3,12,7,9,6,7,13,,11,7,4,5,12,12,6,5,24.7,7.7,15,23,23.1,8.1,100,137
15,19800,Courtland Sutton,WR,DEN,12,4,11,9,5,6,0,11,10,9,8,10,9,,9,6,9,7,22.0,7.3,15,22,23.7,7.9,81,135
16,24933,Brian Thomas Jr.,WR,JAX,4,4,9,9,8,6,5,4,4,3,7,,10,12,14,13,10,11,36.6,11.3,23,34,24.4,7.8,87,133
17,15048,Travis Kelce,TE,KC,4,3,5,9,10,,5,12,16,12,4,8,13,6,8,7,11,,22.8,9.0,13,18,22.8,8.3,97,133
18,20876,Jakobi Meyers,WR,LV,3,5,9,10,9,,,7,11,,6,15,11,10,9,5,9,10,22.0,8.0,16,24,23.4,8.6,87,129
19,18082,Tyreek Hill,WR,MIA,12,6,5,7,10,,2,9,5,4,8,6,9,14,7,7,9,3,18.8,6.3,14,19,20.8,7.2,81,123
20,15076,Keenan Allen,WR,CHI,11,,,3,6,5,,7,10,6,8,15,8,5,13,13,8,3,24.5,8.0,17,24,25.4,8.1,70,121
21,19802,Calvin Ridley,WR,TEN,7,6,3,3,,8,9,15,8,9,6,6,7,12,5,5,6,5,17.6,5.3,11,16,22.6,7.1,64,120
22,20873,Terry McLaurin,WR,WAS,4,8,6,10,8,7,6,8,3,6,2,6,8,,10,6,7,12,23.6,8.3,14,25,22.3,6.9,82,117
23,24974,Marvin Harrison Jr.,WR,ARI,3,8,11,6,7,2,6,7,5,5,,6,12,8,6,8,10,6,20.9,8.0,15,24,21.4,6.8,62,116
24,23120,Zay Flowers,WR,BAL,10,11,4,2,12,9,1,12,6,6,6,8,7,,7,8,5,2,20.8,5.0,8,15,24.3,6.8,74,116
25,21717,Jauan Jennings,WR,SF,5,4,12,6,4,5,,,,11,11,7,5,8,9,6,10,10,21.1,8.7,18,26,23.7,7.5,77,113
26,25097,Ladd McConkey,WR,LAC,7,4,6,7,,8,7,6,7,2,9,6,12,,7,6,10,8,22.4,8.0,19,24,23.3,7.0,82,112
27,18990,Jonnu Smith,TE,MIA,2,7,3,1,8,,7,6,6,4,8,11,11,4,11,6,4,12,21.8,7.3,18,22,18.8,6.5,88,111
28,21744,Michael Pittman Jr.,WR,IND,8,7,5,9,8,5,5,6,4,,8,7,7,,9,3,10,10,25.8,7.7,17,23,23.2,6.9,69,111
29,16597,Mike Evans,WR,TB,6,6,3,14,7,6,3,,,,,6,12,5,11,8,9,14,29.0,10.3,22,31,23.9,7.9,74,110
30,21690,Tee Higgins,WR,CIN,,,6,10,14,7,8,,,,13,,10,5,8,11,12,5,22.4,9.3,23,28,24.0,9.1,73,109
31,20875,DK Metcalf,WR,SEA,4,14,6,12,7,11,7,,,,9,5,9,6,3,7,3,5,16.1,5.0,9,15,20.4,7.2,66,108
32,24145,Josh Downs,WR,IND,,,5,9,12,9,3,9,9,10,5,7,,,8,4,4,13,23.6,7.0,16,21,24.5,7.6,72,107
33,21961,Darnell Mooney,WR,ATL,3,7,8,6,16,5,8,6,9,9,4,,6,7,1,6,5,,17.7,5.5,7,11,20.3,6.6,64,106
34,24172,Puka Nacua,WR,LAR,4,,,,,,,9,4,14,9,13,8,14,8,9,14,,45.1,11.5,18,23,28.8,9.6,79,106
35,23153,George Pickens,WR,PIT,7,4,7,11,7,8,9,5,,7,12,7,6,,,,7,6,19.1,6.5,4,13,24.6,7.4,59,103
36,22592,Elijah Moore,WR,CLE,6,8,3,1,4,1,6,12,9,,8,5,14,4,6,5,5,5,13.0,5.0,6,15,15.4,6.0,61,102
37,24977,Rome Odunze,WR,CHI,4,5,11,3,6,2,,6,7,6,10,10,6,5,7,7,4,2,13.3,4.3,7,13,17.8,5.9,54,101
38,23227,Khalil Shakir,WR,BUF,3,5,6,5,,2,7,10,7,9,12,,7,8,7,6,6,,21.1,6.0,5,12,21.8,6.7,76,100
39,18882,Cooper Kupp,WR,LAR,21,6,,,,,,8,14,7,10,11,6,8,3,3,3,,11.8,3.0,4,6,25.3,8.3,67,100
40,21756,Nico Collins,WR,HOU,8,10,10,15,2,,,,,,7,9,11,,6,10,6,5,21.2,7.0,15,21,23.8,8.2,68,99
41,23162,Jordan Addison,WR,MIN,4,,,4,8,,4,3,5,5,8,9,6,12,9,8,8,6,18.5,7.3,12,22,20.0,6.6,63,99
42,24924,Xavier Worthy,WR,KC,3,4,4,4,6,,8,8,2,4,5,6,7,6,11,11,9,0,20.8,6.7,15,20,16.3,5.8,59,98
43,17975,Hunter Henry,TE,NE,3,12,3,3,4,5,9,6,8,4,9,8,9,,4,8,2,,16.7,5.0,4,10,19.4,6.1,66,97
44,18876,David Njoku,TE,CLE,5,,,,3,7,14,7,7,,9,5,17,13,,10,,,29.4,10.0,8,10,21.9,8.8,64,97
45,21042,A.J. Brown,WR,PHI,10,,,,,9,5,6,4,7,8,7,6,4,11,15,5,,42.6,10.0,11,20,31.4,7.5,67,97
46,19063,George Kittle,TE,SF,5,8,,4,12,6,7,7,,4,,6,2,6,7,9,8,3,16.3,6.7,18,20,19.8,6.3,78,94
47,24226,Quentin Johnston,WR,LAC,5,6,2,5,,4,,,5,2,8,5,4,7,10,6,8,14,26.2,9.3,21,28,20.7,6.1,55,91
48,23234,Jameson Williams,WR,DET,9,11,3,2,,4,1,,,5,6,7,7,8,5,7,8,8,23.2,7.7,16,23,17.8,6.1,58,91
49,14856,Zach Ertz,TE,WAS,4,4,5,3,8,5,5,11,1,8,7,8,6,,2,2,7,5,13.2,4.7,12,14,17.3,5.4,66,91
50,21687,DeVonta Smith,WR,PHI,8,10,10,,,4,2,7,6,3,6,,,6,12,8,7,,31.9,7.5,12,15,26.5,6.8,68,89
51,18878,Alvin Kamara,RB,NO,5,3,3,9,8,8,7,11,9,6,4,,6,5,5,,,,15.6,5.0,0,0,20.1,6.4,68,89
52,24179,De'Von Achane,RB,MIA,7,7,5,3,1,,3,8,8,5,4,4,9,7,7,7,2,0,8.9,3.0,8,9,14.7,5.1,78,87
53,19961,Ray-Ray McCloud III,WR,ATL,7,5,3,7,9,4,4,3,3,4,6,,6,11,3,4,1,7,12.0,4.0,8,12,15.6,5.1,62,87
54,23134,Cade Otton,TE,TB,2,2,8,9,4,6,10,10,11,8,,3,7,4,3,,,,11.1,3.0,0,0,18.8,6.2,59,87
55,24180,DeMario Douglas,WR,NE,3,0,9,3,9,9,3,3,9,5,6,7,4,,3,5,5,4,15.6,4.7,11,14,16.4,5.1,66,87
56,23138,Jake Ferguson,TE,DAL,5,,11,7,7,4,,8,10,5,1,,,6,4,9,5,4,18.4,6.0,11,18,16.3,6.1,59,86
57,16765,Amari Cooper,WR,CLE,9,8,12,8,10,6,5,2,,,3,,3,14,0,2,3,,8.8,2.5,4,5,18.8,6.1,44,85
58,19920,Dalton Schultz,TE,HOU,3,3,5,5,6,8,2,6,6,4,7,2,7,,4,8,6,3,17.2,5.7,10,17,14.9,5.0,53,85
59,25003,Xavier Legette,WR,CAR,7,0,3,10,1,4,3,7,6,4,,6,8,8,3,,9,5,22.2,7.0,8,14,16.1,5.2,49,84
60,23141,Sam LaPorta,TE,DET,5,3,2,4,,1,2,6,3,6,,6,6,7,10,7,8,7,22.2,7.3,17,22,16.0,5.2,60,83
61,19853,Mike Gesicki,TE,CIN,4,9,5,1,2,0,1,8,6,9,2,,5,3,4,2,12,10,19.2,8.0,20,24,12.7,4.9,65,83
62,22598,Jaylen Waddle,WR,MIA,5,4,5,6,8,,2,6,2,6,3,9,4,12,2,,,9,22.0,9.0,4,9,15.6,5.5,58,83
63,20932,Deebo Samuel Sr.,WR,SF,9,10,,5,3,5,0,7,,6,7,4,5,3,7,9,1,,12.5,5.0,8,10,17.6,5.4,51,81
64,24176,Tank Dell,WR,HOU,7,4,6,,4,9,4,4,9,9,7,5,4,,2,7,,,17.9,7.0,6,7,17.2,5.8,51,81
65,24177,Tre Tucker,WR,LV,3,2,9,6,5,2,8,3,6,,4,8,1,5,3,4,8,4,14.7,5.3,7,16,12.8,4.8,47,81
66,14986,DeAndre Hopkins,WR,KC,1,2,7,4,,6,1,3,9,5,4,6,9,9,6,4,4,,10.1,4.0,6,8,13.8,5.0,56,80
67,22597,Jalen Tolbert,WR,DAL,2,9,5,3,10,5,,3,6,5,5,4,4,3,2,3,4,6,13.3,4.3,9,13,12.4,4.6,49,79
68,22507,Pat Freiermuth,TE,PIT,4,4,5,7,3,3,3,2,,3,2,4,7,3,6,3,8,11,21.8,7.3,18,22,15.6,4.6,65,78
69,22526,Breece Hall,RB,NYJ,6,8,5,5,4,6,9,3,4,4,7,,1,,2,6,1,5,10.8,4.0,9,12,13.4,4.8,57,76
70,23253,Dontayvion Wicks,WR,GB,3,4,2,13,7,3,6,2,3,,1,2,5,5,2,7,5,6,21.2,6.0,12,18,15.9,4.5,39,76
71,24102,Dalton Kincaid,TE,BUF,2,4,5,7,6,7,6,7,10,5,,,,,7,7,2,,15.8,4.5,6,9,19.1,5.8,44,75
72,23233,Jayden Reed,WR,GB,6,2,6,8,6,6,4,3,6,,2,3,6,1,6,4,4,2,11.8,3.3,6,10,15.7,4.4,55,75
73,16830,Tyler Lockett,WR,SEA,7,2,8,9,6,8,6,3,4,,3,3,3,1,1,2,4,4,10.8,3.3,7,10,12.5,4.4,49,74
74,22508,Kyle Pitts Sr.,TE,ATL,3,4,5,3,8,5,9,5,1,6,3,,2,6,4,2,5,3,10.0,3.3,7,10,13.2,4.4,47,74
75,22623,Rashod Bateman,WR,BAL,5,4,4,1,8,4,4,5,4,8,5,3,0,,5,3,1,8,16.7,4.0,7,12,15.1,4.2,45,72
76,23167,Romeo Doubs,WR,GB,7,3,2,8,,4,10,6,5,,2,6,,,5,3,11,,23.3,7.0,9,14,18.9,5.5,46,72
77,23189,Bijan Robinson,RB,ATL,5,5,2,4,3,4,5,7,7,4,4,,6,2,2,2,5,5,12.0,4.0,7,12,12.9,4.2,61,72
78,19988,Tyler Conklin,TE,NYJ,2,2,6,8,9,3,4,4,2,2,2,,5,5,,7,8,3,16.2,6.0,15,18,12.5,4.5,51,72
79,24173,Michael Wilson,WR,ARI,2,2,9,7,6,4,3,6,1,4,,4,7,3,2,5,6,,13.8,5.5,6,11,14.0,4.4,47,71
80,20943,Darius Slayton,WR,NYG,4,4,2,5,11,11,3,7,3,,,2,6,6,1,2,3,1,6.6,2.0,2,6,12.8,4.4,39,71
81,22558,Javonte Williams,RB,DEN,2,5,4,3,6,6,3,5,3,2,5,4,2,,3,11,2,4,17.0,5.7,12,17,12.3,4.1,52,70
82,23489,Chig Okonkwo,TE,TEN,2,3,2,3,,3,4,5,4,1,4,1,6,4,10,11,7,0,19.8,6.0,14,18,13.2,4.1,52,70
83,24118,Tucker Kraft,TE,GB,3,2,3,9,5,4,4,3,6,,1,2,7,5,2,4,3,7,16.5,4.7,9,14,14.6,4.1,50,70
84,23232,Alec Pierce,WR,IND,3,7,2,2,3,4,5,4,3,7,4,4,6,,4,,9,2,14.1,5.5,8,11,13.7,4.3,37,69
85,19803,Mark Andrews,TE,BAL,2,5,1,1,5,4,4,5,2,7,3,5,7,,2,6,2,8,22.2,5.3,10,16,14.5,4.1,55,69
86,23121,Kayshon Boutte,WR,NE,,,2,1,2,3,2,6,6,6,6,4,6,,5,7,5,7,21.1,6.3,16,19,14.2,4.5,43,68
87,21077,Diontae Johnson,WR,HOU,6,6,14,13,6,10,3,,0,2,2,1,,,,,,4,14.3,4.0,2,4,18.6,5.6,33,67
88,21738,Juwan Johnson,TE,NO,3,0,0,3,5,3,6,4,2,3,3,,7,5,3,2,10,7,17.6,6.3,14,19,12.0,3.9,50,66
89,22613,Joshua Palmer,WR,LAC,4,2,,4,,3,5,4,4,2,4,8,1,9,3,6,6,,16.9,6.0,7,12,14.3,4.3,39,65
90,24374,Chase Brown,RB,CIN,3,0,3,3,3,3,2,4,5,11,7,,3,8,3,3,4,,8.9,3.5,7,7,10.7,4.1,54,65
91,18912,Evan Engram,TE,JAX,4,,,,,10,5,5,10,8,7,,9,6,,,,,19.4,6.0,0,0,24.2,7.1,47,64
92,20753,Noah Fant,TE,SEA,4,3,6,2,3,6,4,4,,,,,4,4,7,6,5,6,18.3,5.7,12,17,12.9,4.6,48,64
93,19950,Will Dissly,TE,LAC,1,3,3,3,,5,11,7,3,6,6,4,1,2,,,3,6,11.8,4.5,7,9,14.4,4.3,50,64
94,21142,Olamide Zaccheaus,WR,WAS,3,3,0,6,3,6,6,0,2,3,2,1,3,,4,8,9,5,20.8,7.3,15,22,12.2,3.8,45,64
95,16906,Stefon Diggs,WR,HOU,6,6,12,9,8,7,7,9,,,,,,,,,,,24.3,9.0,0,0,22.9,8.0,47,64
96,18047,Demarcus Robinson,WR,LAR,7,4,4,3,5,,3,3,9,5,4,3,3,1,1,1,2,6,9.8,3.0,3,9,11.4,3.8,31,64
97,23200,Jahmyr Gibbs,RB,DET,6,7,0,0,,5,4,1,2,3,1,3,4,6,7,5,4,5,14.1,4.7,13,14,11.4,3.7,52,63
98,22602,Tutu Atwell,WR,LAR,0,4,5,6,10,,9,2,3,1,2,3,2,3,2,2,0,8,10.9,3.3,6,10,11.1,3.6,42,62
99,15534,Adam Thielen,WR,CAR,4,3,5,,,,,,,,,4,10,11,7,6,6,6,20.2,6.0,15,18,19.0,6.2,48,62
100,19045,Aaron Jones,RB,MIN,2,6,6,5,1,,3,2,4,3,1,4,4,2,3,5,5,6,13.4,5.3,12,16,11.3,3.6,51,62
101,18880,Chris Godwin,WR,TB,8,8,9,9,6,13,9,,,,,,,,,,,,20.0,9.0,0,0,26.5,8.9,50,62
102,20805,T.J. Hockenson,TE,MIN,,,,,,,,,4,9,3,9,6,5,7,5,6,8,16.0,6.3,9,19,17.3,6.2,41,62
103,24119,Andrei Iosivas,WR,CIN,6,4,7,1,2,3,1,3,4,4,3,,4,5,4,3,4,3,8.0,3.3,8,10,9.4,3.6,36,61
104,20145,Allen Lazard,WR,NYJ,9,4,3,8,9,7,4,,,,,,,1,4,5,3,3,9.9,3.7,6,11,13.5,5.0,37,60
105,21734,Nick Westbrook-Ikhine,WR,TEN,0,0,0,0,,2,4,4,6,3,6,5,8,2,3,4,6,7,18.7,5.7,9,17,11.3,3.5,32,60
106,17963,Austin Hooper,TE,NE,4,1,4,2,3,2,5,4,1,4,4,4,4,,3,5,3,6,15.6,4.7,11,14,11.2,3.5,45,59
107,23256,Isaiah Likely,TE,BAL,12,3,1,2,3,4,4,4,1,,5,0,8,,2,3,1,5,12.5,3.0,7,9,13.1,3.6,42,58
108,19903,Jordan Akins,TE,CLE,4,1,7,2,3,0,4,1,4,,4,4,1,1,4,2,8,8,15.7,6.0,13,18,8.8,3.4,40,58
109,22566,Calvin Austin III,WR,PIT,2,2,5,1,2,5,4,4,,6,2,3,2,4,5,5,5,1,10.9,3.7,8,11,11.6,3.4,36,58
110,25098,Jalen McMillan,WR,TB,3,2,1,,,1,8,7,,,,2,3,7,6,7,5,6,16.8,6.0,15,18,13.2,4.5,37,58
111,23217,Rachaad White,RB,TB,6,1,6,3,3,,6,6,3,7,,1,1,3,2,8,1,0,8.4,3.0,8,9,10.7,3.6,51,57
112,24964,Keon Coleman,WR,BUF,5,1,1,4,5,4,7,7,2,,,,,,2,2,7,10,21.3,6.3,6,19,14.7,4.4,29,57
113,17986,Tyler Boyd,WR,TEN,5,5,4,2,,3,5,6,0,0,3,6,4,4,3,3,4,,10.8,3.5,4,7,11.3,3.6,39,57
114,20912,Tony Pollard,RB,TEN,4,6,4,2,,3,6,4,3,4,4,5,6,2,0,4,,0,6.7,2.0,2,4,11.4,3.6,41,57
115,19120,David Moore,WR,CAR,3,1,0,0,3,2,0,5,4,4,,10,9,5,4,3,1,3,7.9,2.3,4,7,10.4,3.4,32,57
116,19080,Noah Brown,WR,WAS,,3,3,4,,8,1,6,6,7,4,10,4,,,,,,13.3,4.0,0,0,16.7,5.1,35,56
117,21772,Cole Kmet,TE,CHI,1,5,11,3,4,5,,1,0,4,3,10,3,0,1,2,0,2,4.1,1.3,4,4,9.7,3.2,47,55
118,25198,Devaughn Vele,WR,DEN,8,,,,,6,3,3,3,4,5,9,4,,1,3,2,4,9.0,3.0,8,9,12.3,4.2,41,55
119,24954,Adonai Mitchell,WR,IND,5,4,1,3,7,4,3,4,1,6,2,3,2,,4,1,4,1,6.7,2.0,3,6,10.7,3.2,23,55
120,18983,James Conner,RB,ARI,4,1,1,1,3,5,4,3,3,5,,5,4,4,5,4,3,,8.8,3.5,6,7,10.8,3.4,47,55
121,21691,Chuba Hubbard,RB,CAR,0,5,5,4,4,6,0,2,3,6,,5,0,5,4,5,,,19.2,5.0,4,5,11.2,3.6,43,54
122,16568,Brandin Cooks,WR,DAL,7,2,6,4,,,,,,,,,7,3,5,3,8,9,20.4,6.7,10,20,15.6,5.4,26,54
123,24223,Brenton Strange,TE,JAX,0,6,5,3,4,2,0,5,0,3,1,,2,1,12,4,1,4,9.7,3.0,6,9,9.7,3.1,40,53
124,23395,Christian Watson,WR,GB,5,0,2,1,,4,2,6,7,,4,3,4,7,6,1,,1,3.6,1.0,0,2,12.5,3.5,29,53
125,25092,Tyrone Tracy Jr.,RB,NYG,3,0,2,1,2,6,3,3,1,2,,4,3,10,4,4,3,2,9.9,3.0,8,9,9.0,3.1,38,53
126,24973,Troy Franklin,WR,DEN,,1,5,4,2,3,6,2,4,3,2,4,5,,5,3,2,2,7.0,2.3,5,7,10.0,3.3,28,53
127,23214,Kenneth Walker III,RB,SEA,3,,,5,8,8,2,5,3,,2,6,3,,,8,,,18.6,8.0,8,8,13.2,4.8,46,53
128,23173,Zach Charbonnet,RB,SEA,3,5,4,5,5,1,1,4,3,,2,0,3,7,4,2,3,0,5.4,1.7,5,5,8.8,3.1,42,52
129,18858,Joe Mixon,RB,HOU,3,5,,,,3,3,6,0,4,4,6,6,,6,2,3,1,6.1,2.0,4,6,11.6,3.7,36,52
130,24068,KaVontae Turpin,WR,DAL,1,4,3,0,5,7,,4,4,0,3,1,5,4,1,1,4,5,10.2,3.3,5,10,8.2,3.1,31,52
131,23165,Marvin Mims Jr.,WR,DEN,1,2,1,0,1,3,3,2,2,4,2,5,4,,4,5,8,5,18.0,6.0,16,18,9.1,3.1,39,52
132,21684,D'Andre Swift,RB,CHI,1,5,4,7,2,4,,0,6,1,2,4,3,2,1,3,5,2,10.2,3.3,7,10,9.2,3.1,42,52
133,24967,Bucky Irving,RB,TB,3,0,3,2,2,2,3,7,3,3,,6,3,1,2,3,4,5,11.2,4.0,9,12,9.1,3.1,47,52
134,21696,Travis Etienne Jr.,RB,JAX,3,4,6,2,7,1,,,3,1,3,,3,4,5,3,2,5,10.8,3.3,6,10,10.5,3.5,39,52
135,19863,Dallas Goedert,TE,PHI,5,4,11,8,,1,,,,3,5,5,4,,,,,6,14.6,6.0,4,6,18.0,5.2,42,52
136,20802,Justice Hill,RB,BAL,8,2,2,6,2,1,3,1,3,2,7,2,6,,5,1,,,4.3,1.0,0,1,11.9,3.4,42,51
137,17961,Sterling Shepard,WR,TB,,,0,5,2,4,1,5,5,3,,7,7,6,1,3,,2,6.7,2.5,2,5,10.4,3.6,32,51
138,24143,Parker Washington,WR,JAX,1,1,3,0,0,0,0,4,6,0,3,,12,2,6,6,3,4,14.0,4.3,11,13,9.3,3.0,32,51
139,19023,Mack Hollins,WR,BUF,2,1,2,6,6,2,1,0,5,4,2,,1,6,3,3,2,4,10.1,3.0,7,9,9.6,2.9,31,50
140,21071,Greg Dortch,WR,ARI,8,2,6,4,2,5,2,2,1,1,,2,3,1,3,1,3,4,7.0,2.7,8,8,9.2,2.9,37,50
141,24348,Cedric Tillman,WR,CLE,1,2,2,0,0,0,12,9,11,,8,4,,,,,,,14.8,4.0,0,0,11.9,4.5,29,49
142,21807,Colby Parkinson,TE,LAR,5,2,5,7,13,,2,2,0,0,1,2,1,1,5,1,1,1,3.3,1.0,1,3,8.8,2.9,30,49
143,21952,Rico Dowdle,RB,DAL,1,5,5,1,2,6,,,6,3,5,3,3,2,0,3,1,3,7.1,2.3,6,7,8.2,3.1,39,49
144,21785,Noah Gray,TE,KC,3,0,2,4,2,,4,3,1,2,5,4,6,5,5,1,1,1,3.1,1.0,3,3,8.2,2.9,40,49
145,20868,Alexander Mattison,RB,LV,6,0,3,1,3,5,3,5,0,,3,,,,4,7,3,5,13.8,5.0,9,15,9.4,3.4,36,48
146,21768,Najee Harris,RB,PIT,2,2,5,6,2,2,1,4,,0,5,2,6,0,1,1,4,5,9.9,3.3,6,10,9.6,2.8,36,48
147,23479,Jaylen Warren,RB,PIT,2,2,1,,,3,3,3,,2,4,5,4,5,2,5,6,1,11.9,4.0,10,12,11.0,3.2,38,48
148,19815,Christian Kirk,WR,JAX,4,3,10,12,4,6,3,5,,,,,,,,,,,15.6,5.0,0,0,18.7,5.9,27,47
149,16815,Ameer Abdullah,RB,LV,0,2,2,0,3,5,0,2,3,,3,6,2,2,7,6,4,,13.7,5.0,8,10,7.8,2.9,40,47
150,21747,Brandon Aiyuk,WR,SF,5,5,10,5,12,4,6,,,,,,,,,,,,19.4,6.0,0,0,21.8,6.7,25,47
151,24982,Ricky Pearsall,WR,SF,,,,,,,5,4,,6,2,0,1,2,4,4,10,8,17.9,7.3,18,22,13.2,4.2,31,46
152,25122,Jalen Coker,WR,CAR,,,,1,4,3,1,6,3,8,,,,,6,5,2,7,15.7,4.7,11,14,13.6,4.2,32,46
153,18928,Curtis Samuel,WR,BUF,2,2,3,2,4,4,1,,1,8,6,,0,3,2,,,8,25.0,8.0,7,8,10.7,3.3,31,46
